date,heure,x,y
11/27/2011,9:30:00,-107,34
11/27/2011,11:24:00,-40,44
11/27/2011,12:37:00,-6,44
11/27/2011,15:41:00,83,24
5/7/2011,14:47:00,52,172
4/2/2011,12:28:00,-62,118
4/2/2011,16:40:00,127,109
4/17/2011,11:27:00,-130,163
11/13/2011,10:02:00,-86,46
11/13/2011,16:01:00,109,22
4/22/2011,16:18:00,136,152
4/9/2011,11:41:00,-107,140
4/9/2011,13:10:00,-32,124
4/9/2011,15:16:00,57,121
11/20/2011,9:47:00,-95,40
11/20/2011,12:57:00,2,44
11/20/2011,14:50:00,57,34
11/19/2011,12:08:00,-17,47
11/26/2011,14:53:00,57,33
11/12/2011,13:06:00,11,49
11/12/2011,14:53:00,65,38
4/16/2011,12:06:00,-84,148
4/16/2011,13:49:00,-2,133
4/16/2011,15:09:00,57,133
5/7/2011,14:47:00,52,172